Invoice Number,Invoice Date,Order Number,GST
0502593,8/13/21,20010000608569,    185.58
0504627,8/27/21,20010000605605,    105.14
0507101,9/10/21,20010000619038,     53.95
0507102,9/10/21,20010000622027,     93.99
0507104,9/10/21,20010000628018,    110.48
0507105,9/10/21,20010000627512,           33.13
0507106,9/10/21,20010000626541,     88.90
0507107,9/10/21,20010000624516,     39.21
0507108,9/10/21,20010000623535,    158.65
0507109,9/10/21,20010000622029,    140.17
0507134,9/16/21,20010000618590,     63.14
0507135,9/16/21,20010000628068,     18.95
0507138,9/16/21,20010000627599,     13.50
0507139,9/16/21,20010000619555,      7.29
0507140,9/16/21,20010000630089,           20.44
0507141,9/16/21,20010000630052,            7.29
0507142,9/16/21,20010000627601,     60.09
0507143,9/16/21,20010000624558,     18.95
0507144,9/16/21,20010000627597,     54.41
0507145,9/16/21,20010000626563,     18.95
0507146,9/16/21,20010000627596,     54.82
0507147,9/16/21,20010000619556,     18.95
0507150,9/16/21,20010000626586,     44.18
0507151,9/16/21,20010000625058,     21.87
0510320,10/01/21,20010000635025,    100.94
0510321,10/01/21,20010000640539,    115.49
0510323,10/01/21,20010000642056,     41.43
0510324,10/01/21,20010000633025,           31.46
0510325,10/01/21,20010000641035,           28.01
0510326,10/01/21,20010000632519,     70.90
0510328,10/01/21,20010000635520,     79.68
0510329,10/01/21,20010000633545,     73.22
0510330,10/01/21,20010000638522,     96.99
0510331,10/01/21,20010000632067,    106.72
0510332,10/01/21,20010000640514,    177.53
0510333,10/01/21,20010000636558,    150.63
0510336,10/01/21,20010000639517,    114.00
0510337,10/01/21,20010000634050,    136.06
0510338,10/01/21,20010000635032,    535.09
12204865,08/20/21,20010000606096,587.37
12218402,08/30/21,20010000608616,1268.97
12240607,09/10/21,20010000620089,17.31
12240608,09/10/21,20010000621079,55.03
12240613,09/10/21,20010000623082,10.84
12240618,09/10/21,20010000623593,61.72
12240653,09/10/21,20010000625086,69.77
12240659,09/10/21,20010000625575,17.71
12240661,09/10/21,20010000626587,93.48
12240662,09/10/21,20010000627088,122.01
12240664,09/10/21,20010000627600,108.63
12252626,09/20/21,20010000618610,335.59
12252627,09/20/21,20010000620596,290.51
12252629,09/20/21,20010000628118,440.12
12252630,09/20/21,20010000628119,405.19
12252631,09/20/21,20010000629607,324.55
12252632,09/20/21,20010000631065,268.01
12261217,09/27/21,20010000633511,498.03
12261218,09/27/21,20010000633513,365.43
12261220,09/27/21,20010000634019,98.10
12261222,09/27/21,20010000635029,546.39
12261225,09/27/21,20010000636515,128.96
12261230,09/27/21,20010000640022,29.98
12261231,09/27/21,20010000640515,40.96
12261233,09/27/21,20010000640517,299.52
12261235,09/27/21,20010000641512,104.27
12261236,09/27/21,20010000642015,116.87
12267339,09/30/21,20010000633026,3152.04
12267340,09/30/21,20010000633027,101.79
